Customer_id,Customer_name,Routing Number,Account_number,Account_balance,Address,City,State,Region,Phone_number,Account Age,Account_Creation_Date,Average Check Transaction,No. of instances of fraud,Debit/Credit,Mode of Check Submission,Payer/Payee,Location_id,Unnamed: 18,Transaction_id,Check_number,Account_number.1,Payer_name,Payee_name,Routing number,Date_issued,Date Cleared,Amount_transferred,Mode_of_deposit,Region.1,No. of instances of fraud.1
11.0,Paulezi Damzel,444000012.0,150926847301.0,"$6,900.00",808 Spruce Ave,Madison,Mississippi,South,123-456-1234,11 months,2023-11-02,"$4,490",5.0,Debit,ATM,Jessica Morgan,LOC-7715,,1011,111,657102983457,Olivia Brooks,Laura Collins,101000890,2024-09-28,2024-10-01,"$3,000",Mobile Deposit,South,5
12.0,Emma Phillips,555000345.0,893267405128.0,"$5,600.00",909 Alder Dr,Metropolis,Illinois,Midwest,234-567-2345,"2 years, 10 months",2021-12-04,"$2,340",0.0,Credit,Online,Megan Foster,LOC-6390,,1012,108,734928560172,Jessica Morgan,Paulezi Damzel,102001123,2024-09-10,2024-09-13,"$1,800",Branch Deposit,East,0
13.0,Andrew Bennett,104001789.0,260849573621.0,"$4,800.00",101 Beech Pl,Springfield,Massachusetts,Northeast,345-678-3456,"1 year, 5 months",2023-04-18,"$1,725",4.0,Credit,Online,Matthew Clark,LOC-8822,,1013,106,584102397658,Megan Foster,Emma Phillips,103001456,2024-09-16,2024-09-19,"$12,000",ATM Deposit,West,4
14.0,Megan Foster,103001456.0,584102397658.0,"$9,300.00",202 Walnut Cir,Gotham,New Jersey,Northeast,456-789-4567,"4 years, 2 months",2020-07-29,"$3,680",1.0,Debit,Bank,Emma Phillips,LOC-2145,,1014,104,260849573621,Andrew Bennett,Matthew Clark,104001789,2024-09-19,2024-09-22,"$9,500",Check Deposit,North,1
15.0,Matthew Clark,666000678.0,709385214069.0,"$7,500.00",303 Sycamore St,Madison,Georgia,South,567-890-5678,20 days,2024-08-14,"$2,980",2.0,Credit,ATM,Andrew Bennett,LOC-5579,,1015,103,319467582091,Jacob Reed,Daniel Harris,105002012,2024-09-24,2024-09-27,"$4,300",Mobile Deposit,South,2
16.0,John Adams,108000012.0,934750120864.0,"$11,200.00",404 Cedar Ln,Gotham,New York,Northeast,123-987-6543,3 years,2021-01-12,"$1,850",2.0,Credit,ATM,Matthew Clark,LOC-9850,,1016,107,123849057230,William Collins,Robert Adams,106003456,2024-09-12,2024-09-14,"$2,700",Branch Deposit,East,0
17.0,Lisa Turner,116003456.0,846730195027.0,"$9,750.00",302 Oak St,Madison,Georgia,South,234-789-0123,2 years,2022-05-25,"$4,120",0.0,Debit,Online,Sarah Turner,LOC-6589,,1017,103,105934785028,Lisa Brooks,Andrew Davis,107003789,2024-09-19,2024-09-21,"$6,800",Mobile Deposit,South,1
18.0,William Reed,109003456.0,509375810293.0,"$13,400.00",101 Maple St,Springfield,Missouri,Midwest,345-901-2345,4 months,2024-06-01,"$3,960",1.0,Credit,Bank,Laura Collins,LOC-3357,,1018,102,934750120864,John Adams,Matthew Clark,108000012,2024-09-22,2024-09-25,"$9,300",ATM Deposit,North,2
19.0,Amy Thompson,109003456.0,672849153092.0,"$7,300.00",505 Fir Dr,Gotham,New Jersey,Northeast,456-123-6789,6 months,2024-04-15,"$2,760",3.0,Credit,ATM,William Reed,LOC-1125,,1019,110,672849153092,Amy Thompson,William Reed,109003456,2024-09-26,2024-09-29,"$3,200",Check Deposit,East,3
20.0,Richard Scott,110003789.0,320485019274.0,"$10,850.00",707 Ash Ct,Springfield,Illinois,Midwest,567-890-1123,3 years,2021-07-08,"$4,540",2.0,Debit,Online,Emma Phillips,LOC-2245,,1020,111,320485019274,Richard Scott,Emma Phillips,110003789,2024-09-28,2024-09-30,"$4,100",Branch Deposit,West,1
21.0,Megan White,111000890.0,758930281047.0,"$6,900.00",101 Beech Pl,Gotham,New York,Northeast,678-234-5678,"1 year, 6 months",2023-04-20,"$1,670",1.0,Credit,Bank,Robert Thompson,LOC-8871,,1021,106,758930281047,Megan White,Robert Thompson,111000890,2024-09-12,2024-09-14,"$8,000",ATM Deposit,North,2
22.0,James Brooks,112001123.0,109284750381.0,"$8,250.00",202 Birch Blvd,Madison,Wisconsin,Midwest,789-345-6789,"2 years, 1 month",2022-08-05,"$3,860",4.0,Debit,ATM,Olivia Brooks,LOC-3349,,1022,108,109284750381,James Brooks,Olivia Brooks,112001123,2024-09-10,2024-09-13,"$4,500",Mobile Deposit,South,1
23.0,Michelle Reed,113001456.0,907248305729.0,"$4,500.00",404 Cedar Ln,Metropolis,Ohio,Midwest,890-123-4567,"3 years, 9 months",2020-12-01,"$2,500",0.0,Debit,Online,Jessica Morgan,LOC-1127,,1023,103,907248305729,Michelle Reed,Jessica Morgan,113001456,2024-09-16,2024-09-19,"$5,100",Branch Deposit,West,0
24.0,Robert Adams,114001789.0,584039218473.0,"$12,700.00",303 Elm St,Madison,Alabama,South,901-234-5678,5 months,2024-05-10,"$4,980",1.0,Credit,Bank,John Adams,LOC-9853,,1024,107,584039218473,Robert Adams,Andrew Bennett,114001789,2024-09-14,2024-09-17,"$10,200",Check Deposit,East,2
25.0,Andrew Davis,115002012.0,103758194020.0,"$7,100.00",909 Alder Dr,Springfield,Massachusetts,Northeast,012-345-6789,1 year,2023-09-01,"$2,850",2.0,Credit,Online,Michelle Reed,LOC-3399,,1025,109,103758194020,Andrew Davis,William Collins,115002012,2024-09-24,2024-09-27,"$3,900",Mobile Deposit,South,1
26.0,Emma Turner,116003456.0,487503281049.0,"$5,900.00",707 Ash Ct,Metropolis,Illinois,Midwest,123-456-7890,6 months,2024-04-22,"$1,920",0.0,Debit,ATM,Sarah Turner,LOC-6534,,1026,110,487503281049,Emma Turner,Sarah Turner,116003456,2024-09-18,2024-09-21,"$6,500",ATM Deposit,North,0
27.0,William Collins,106003456.0,123849057230.0,"$11,800.00",404 Cedar Ln,Gotham,New Jersey,Northeast,234-567-8901,4 years,2020-06-15,"$3,410",1.0,Credit,Online,Robert Adams,LOC-9983,,1027,107,483920573621,Jacob White,Lisa Brooks,117003789,2024-09-22,2024-09-25,"$7,800",Check Deposit,West,1
28.0,Lisa Brooks,117003789.0,105934785028.0,"$9,500.00",202 Birch Blvd,Madison,Georgia,South,345-678-9012,1 year,2023-09-07,"$3,120",0.0,Debit,Bank,Andrew Davis,LOC-6601,,1028,108,129384057102,Olivia Scott,John Adams,118000012,2024-09-24,2024-09-27,"$3,600",Mobile Deposit,East,0
29.0,Jacob White,117003789.0,483920573621.0,"$8,750.00",909 Alder Dr,Metropolis,Illinois,Midwest,456-789-0123,2 years,2022-03-01,"$2,530",1.0,Credit,ATM,Emma Turner,LOC-3375,,1029,109,437829154602,Jane Doe,Robert Adams,119003456,2024-09-28,2024-09-30,"$2,900",Branch Deposit,South,0
30.0,Olivia Scott,118000012.0,129384057102.0,"$6,300.00",707 Ash Ct,Gotham,New York,Northeast,567-890-1234,2 years,2022-06-25,"$1,750",0.0,Debit,Online,Lisa Brooks,LOC-2234,,1030,104,591276384015,Emily Davis,Andrew Davis,120003789,2024-09-30,2024-10-03,"$5,600",Check Deposit,West,1
,,,,,,,,,,,,,,,,,,,1031,107,437829154602,Jane Doe,Emily Davis,111000123,2024-10-03,2024-10-05,"$4,000",Check Deposit,North,0
,,,,,,,,,,,,,,,,,,,1032,102,983164750428,Sarah Turner,Robert Thompson,111000124,2024-10-06,2024-10-08,"$6,000",ATM Deposit,North,1
,,,,,,,,,,,,,,,,,,,1033,104,562830914723,Laura Collins,Jacob Reed,222000456,2024-10-07,2024-10-09,"$8,500",Mobile Deposit,East,0
,,,,,,,,,,,,,,,,,,,1034,109,482736190542,David Price,Olivia Brooks,333000789,2024-10-09,2024-10-11,"$3,500",Check Deposit,South,0
,,,,,,,,,,,,,,,,,,,1035,108,437829154602,Jane Doe,Emily Davis,111000123,2024-10-11,2024-10-13,"$3,700",Mobile Deposit,North,0
,,,,,,,,,,,,,,,,,,,1036,104,983164750428,Sarah Turner,Robert Thompson,111000124,2024-10-13,2024-10-15,"$5,500",ATM Deposit,North,1
,,,,,,,,,,,,,,,,,,,1037,106,562830914723,Laura Collins,Jacob Reed,222000456,2024-10-14,2024-10-16,"$7,800",Mobile Deposit,East,0
,,,,,,,,,,,,,,,,,,,1038,107,482736190542,David Price,Olivia Brooks,333000789,2024-10-16,2024-10-18,"$2,500",Check Deposit,South,0
,,,,,,,,,,,,,,,,,,,1039,104,437829154602,Jane Doe,Emily Davis,111000123,2024-10-18,2024-10-20,"$4,500",ATM Deposit,North,0
,,,,,,,,,,,,,,,,,,,1040,105,983164750428,Sarah Turner,Robert Thompson,111000124,2024-10-19,2024-10-21,"$5,800",Mobile Deposit,North,1
